"ID","obs","exp"
"01001",2,3.02371492256346
"01002",28,20.8456682296206
"01003",6,3.75273013033861
"01004",3,3.20931905258259
"01006",0,0.481739063659406
"01008",2,1.96438907233457
"01009",5,3.95846704842479
"01010",2,5.44258575586446
"01011",3,1.08113477306768
"01013",2,1.88975039853722
"01014",1,1.10033762682922
"01016",1,2.12740536361054
"01017",6,3.11831671362998
"01018",6,3.25986482962905
"01019",0,0.551477614450106
"01020",2,1.01736667070975
"01021",2,0.77033059798348
"01022",3,2.64077333360853
"01023",0,1.16307346320684
"01027",1,1.2616394034635
"01028",7,3.29528541491232
"01030",1,0.931598994904335
"01031",4,3.32209429359249
"01032",4,2.11479087209957
"01033",3,2.16252034864089
"01034",0,0.741745602008887
"01036",44,41.6787186804417
"01037",2,2.46774861453521
"01039",0,0.877736562978908
"01041",2,0.640910564290683
"01042",2,2.29957638680495
"01043",6,5.79628275512218
"01044",2,0.883977235734164
"01046",2,2.0116307866504
"01047",2,2.03498314150198
"01049",0,0.606200041607441
"01051",12,7.72545814242429
"01052",2,0.998696656052324
"01053",1,2.48343789522829
"01054",2,2.39567406386322
"01055",3,4.20778187791745
"01056",1,1.59743446940635
"01057",1,1.09795469276625
"01058",4,3.08095333322528
"01059",442,454.429001000089
"01060",1,0.935171542277466
"01061",0,0.364990746706607
"01062",1,1.27194495791336
"01063",4,4.60837531612702
"01901",5,4.03144960393813
"01902",1,2.48598093225678
"02001",2,3.01466175113487
"02002",1,2.54928265149221
"02003",241,268.406277600995
"02004",0,2.84226279789095
"02005",3,2.73980281927769
"02006",2,2.56168613905767
"02007",1,5.53452761797796
"02008",4,4.57224407347628
"02009",44,46.5730407077488
"02010",7,6.61316934309734
"02011",6,4.14260818397855
"02012",9,5.23214828574043
"02013",1,1.25414388042757
"02014",2,1.4621587250989
"02015",2,3.95330916791221
"02016",1,2.16441209808253
"02017",6,4.91329811742128
"02018",3,3.45663568328286
"02019",6,7.55189681890862
"02020",0,2.69955720137882
"02021",6,3.9057089549098
"02022",2,2.12385859593617
"02023",5,3.44896086423444
"02024",6,10.8444546878408
"02025",17,22.0530125690803
